0,1,Year,Language,Rank[a],Title,Production company,Distributor,Worldwide gross,Ref.,Opening,Opening.1,Director,Cast,Studio (production house)
,,2025,hindi,,,,,,,J U N,,,,
,,2025,hindi,,,,,,,J U N,,,,
,,2025,hindi,,Metro... In Dino,,,,[85],J U L,4.0,Anurag Basu,Aditya Roy KapurSara Ali KhanAnupam KherNeena GuptaPankaj TripathiKonkona Sen SharmaAli FazalFatima Sana Shaikh,"T-Series Films, Anurag Basu Productions"
,,2025,hindi,,Kaalidhar Laapata,,,,[86],J U L,4.0,Madhumita,Abhishek BachchanDaivik BhagelaMohammed Zeeshan Ayyub,"Zee Studios, Emmay Entertainment, ZEE5"
,,2025,hindi,,Akshardham: Operation Vajra Shakti,,,,[87],J U L,4.0,Ken Ghosh,Akshaye Khanna Gautam RodeVivek DahiyaAkshay OberoiAbhilash ChaudharyParvin DabasSamir SoniAbhimanyu SinghMir SarwarManjari FadnisChandan RoyShivam Bhaargava,"Zee Studios, Contiloe Pictures"
,,2025,hindi,,Maalik,,,,[88],J U L,11.0,Pulkit,Rajkummar RaoManushi ChhillarProsenjit Chatterjee,"Tips Industries, Northern Lights Films"
,,2025,hindi,,Aankhon Ki Gustaakhiyan,,,,[89],J U L,11.0,Santosh Singh,Vikrant MasseyShanaya Kapoor,"Zee Studios, Mini Films"
,,2025,hindi,,Aap Jaisa Koi,,,,[90],J U L,11.0,Vivek Soni,R. MadhavanFatima Sana Shaikh,"Dharmatic Entertainment, Netflix"
,,2025,hindi,,Saiyaara,,,,[91],J U L,18.0,Mohit Suri,Ahaan PandayAneet Padda,Yash Raj Films
,,2025,hindi,,Tanvi the Great,,,,[92],J U L,18.0,Anupam Kher,Anupam KherShubhangi DuttIain GlenBoman IraniJackie ShroffArvind SwamiPallavi JoshiKaran TackerNassar,"Excel Entertainment, NFDC, Anupam Kher Studio"
,,2025,hindi,,Nikita Roy,,,,[93],J U L,18.0,Kussh Sinha,Sonakshi SinhaArjun RampalParesh RawalSuhail Nayyar,"Nicky Vicky Bhagnani Films, Kratos Entertainment, Nikita Pai Films"
,,2025,hindi,,Murderbaad,,,,[94],J U L,18.0,Arnab Chatterjee,Nakul Roshan SahdevKanikka KapurSharib HashmiAmole GupteSaloni Batra,"Reliance Entertainment, ACjee Entertainment"
,,2025,hindi,,Sant Tukaram,,,,[95],J U L,18.0,Aditya Om,Subodh BhaveSheena ChohanSanjay MishraArun Govil,Curzon Films
,,2025,hindi,,Mahavatar Narsimha[α],,,,[96],J U L,25.0,Ashwin Kumar,Animated characters,"Hombale Films, Kleem Productions"
,,2025,hindi,,So Long Valley,,,,[97],J U L,25.0,Man Singh,Tridha ChoudhuryAkanksha PuriVikram KochharAlisha ParveenPankaj Choudhary,Sourya Studios
,,2025,hindi,,Sarzameen,,,,[98],J U L,25.0,Kayoze Irani,Prithviraj SukumaranKajolIbrahim Ali Khan,"Star Studios, Dharma Productions, JioHotstar"
,,2025,hindi,,Rasa,,,,[99],J U L,25.0,Angith JayarajPreetish Jayaraj,Shishir SharmaRishi BissaVishishtha ChawlaRajiv Kumar,"Purnam Films, Haroon Rashid Films, Vidya Entertainment"
,,2025,hindi,,Dhadak 2,,,,[100],A U G,1.0,Shazia Iqbal,Siddhant ChaturvediTriptii Dimri,"Zee Studios, Dharma Productions, Cloud 9 Pictures"
,,2025,hindi,,Son of Sardaar 2,,,,[101],A U G,1.0,Vijay Kumar Arora,Ajay DevgnMrunal ThakurRavi Kishan,"Jio Studios, Devgn Films, YRV Studios"
,,2025,hindi,,Andaaz 2,,,,[102],A U G,8.0,Suneel Darshan,Aayush KumarAkaishaNatasha Fernandez,Shree Krishna International
,,2025,hindi,,Udaipur Files,,,,[103],A U G,8.0,Bharat Shrinat,Vijay RaazRajneesh DuggalPreeti JhangianiKanchi SinghKamlesh Sawant,Jani Firefox Films
,,2025,hindi,,Ghich Pich,,,,[104],A U G,8.0,Ankur Singla,Nitesh PandeySatyajit SharmaGeeta Agrawal SharmaKabir NandaAryan Singh RanaShhivam Kakar,"Barsaati Films, Platoon One Films"
,,2025,hindi,,War 2,,,,[105][106],A U G,14.0,Ayan Mukerji,Hrithik RoshanN. T. Rama Rao Jr.Kiara Advani,Yash Raj Films
,,2025,hindi,,Tehran,,,,[107],A U G,14.0,Arun Gopalan,John AbrahamNeeru BajwaManushi Chhillar,"Maddock Films, Bake My Cake Films, ZEE5"
,,2025,hindi,,Param Sundari,,,,[108],A U G,29.0,Tushar Jalota,Sidharth MalhotraJanhvi Kapoor,Maddock Films
,,2025,hindi,,Songs of Paradise,,,,[109],A U G,29.0,Danish Renzu,Soni RazdanSaba AzadZain Khan DurraniSheeba ChaddhaTaaruk Raina,"Excel Entertainment, Renzu Films, Apple Tree Pictures, Amazon Prime Video"
,,2025,hindi,,Baaghi 4,,,,[110],S E P,5.0,A. Harsha,Tiger ShroffSanjay DuttSonam BajwaHarnaaz Sandhu,Nadiadwala Grandson Entertainment
,,2025,hindi,,The Bengal Files,,,,[111],S E P,5.0,Vivek Agnihotri,Mithun ChakrabortyAnupam KherPuneet IssarGovind NamdevBabbu MaanPallavi JoshiPalomi Ghosh,"Abhishek Agarwal Arts, I Am Buddha"
,,2025,hindi,,Inspector Zende,,,,[112],S E P,5.0,Chinmay Mandlekar,Manoj BajpayeeJim SarbhBhalchandra KadamSachin KhedekarGirija OakHarish Dudhade,"Northern Lights Films, Netflix"
,,2025,hindi,,Ufff Yeh Siyapaa,,,,[113],S E P,5.0,G. Ashok,Soham ShahNushrratt BharucchaNora FatehiOmkar KapoorSharib Hashmi,Luv Films
,,2025,hindi,,Humans in the Loop,,,,[114],S E P,5.0,Aranya Sahay,Sonal MadhushankarRidhima SinghGita Guha,"Storiculture, Museum of Imagined Futures, SAUV Films"
,,2025,hindi,,Heer Express,,,,[115],S E P,12.0,Umesh Shukla,Divita JunejaAshutosh RanaSanjay MishraGulshan GroverPrit Kamani,"Tulip Entertainment, Divisa Entertainment, Merry Go Round Studios"
,,2025,hindi,,Love in Vietnam,,,,[116],S E P,12.0,Rahat Shah Kazmi,Shantanu MaheshwariAvneet KaurKhả Ngân,"Zee Studios, Blue Lotus Creatives, Innovations India, Rahat Kazmi Film Studios, Zebaish Entertainment, Tariq Khan Productions, Mango Tree Entertainment"
,,2025,hindi,,Ek Chatur Naar,,,,[117],S E P,12.0,Umesh Shukla,Divya Khosla KumarNeil Nitin Mukesh,"T-Series Films, Merry Go Round Studios"
,,2025,hindi,,Jugnuma: The Fable,,,,[118],S E P,12.0,Raam Reddy,Manoj BajpayeeDeepak DobriyalPriyanka BoseTillotama ShomeHiral SidhuAwan Pookot,"Prspctvs Productions, Maxmedia, Flip Films, Sikhya Entertainment"
,,2025,hindi,,Aabeer Gulaal,,,,[119],S E P,12.0,Aarti S. Bagdi,Fawad KhanVaani Kapoor,"A Richer Lens Entertainment, Aarjay Pictures"
,,2025,hindi,,Mannu Kya Karegga,,,,[120],S E P,12.0,Ssanjay Tripaathy,Vyom YadavSaachi BindraVinay PathakKumud MishraRajesh KumarCharu ShankarBrijendra Kala,Curious Eyes Cinema
